color	elemental_type	damage_amount	comments
i	"e(none=0,cold=64,heat=32,acid=128,electric=256)[none]"	f	c
0	heat	1.0	How to use this table
1	heat	1.0	There are only 32 colors. 0 - 31.
2	acid	1.0	Creating a row 32 will not get you a new bug free saber.
3	acid	1.0	"Instead, you should reuse an existing elemental type, and use the master item table to create a new saber using existing elemental, color and damage_amount."
4	cold	1.0	The elemental type dictates the default color of the saber and the saber swoosh (which is based off the default color).
5	cold	1.0	"Heat = red, acid = green, etc."
6	cold	1.0	"If there is not an existing elemental type with the correct damage amount, you need to have engineering figure this system out or pick an elemental type with the correct damage amount that will work."
7	acid	1.0	
8	electric	1.0	
9	electric	1.0	
10	heat	1.0	
11	heat	1.0	
12	heat	1.0	Allya's Exile
13	heat	1.0	Kun's Blood
14	acid	1.0	Bondara's Folly
15	acid	1.0	Ulric's Redemption
16	electric	1.0	Bane's Heart
17	electric	1.0	Gallia's Intuition
18	electric	1.0	Prowess of Plo Koon
19	acid	1.0	B'nar's Sacrifice
20	cold	1.0	Windu's Guile
21	cold	1.0	Mundi's Response
22	cold	1.0	Strength of Luminaria
23	cold	1.0	Baas's Wisdom
24	electric	1.0	Quintessence of the Force
25	acid	1.0	Dawn of Dagobah
26	electric	1.0	Horn's Future
27	acid	1.0	Allya's Redemption
28	cold	1.0	Kenobi's Legacy
29	heat	1.0	Sunrider's Destiny
30	acid	1.0	Kit's Ferocity
32	heat	1.0	Cunning of Tyranus
33	heat	1.0	Maul's Vengeance
34	acid	1.0	Qui-gon's Devotion
35	cold	1.0	unused
36	cold	1.0	unused
37	cold	1.0	unused
38	cold	1.0	unused
39	cold	1.0	unused
40	cold	1.0	unused
41	cold	1.0	unused
42	cold	1.0	unused
43	cold	1.0	unused
44	cold	1.0	unused
45	cold	1.0	unused
46	cold	1.0	unused
47	cold	1.0	unused
48	cold	1.0	unused

